,Country,Year,Status,Life_Expectancy,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,region,sub-region
176,Bahrain,2015,Developing,76.9,69.0,0,,0.0,98.0,0,63.6,0,98.0,,98.0,0.1,22688.878240000002,,6.2,6.1,0.823,14.5,Asia,Western Asia
192,Bangladesh,2015,Developing,71.8,129.0,92,,0.0,97.0,240,18.3,113,97.0,,97.0,0.1,121.15812,1612886.0,17.9,18.3,0.575,10.2,Asia,Southern Asia
208,Barbados,2015,Developing,75.5,98.0,0,,0.0,97.0,0,54.5,0,97.0,,97.0,0.1,15557.8381,,3.8,3.7,0.794,15.3,Americas,Latin America and the Caribbean
224,Belarus,2015,Developing,72.3,196.0,0,,0.0,99.0,2,62.3,0,99.0,,99.0,0.1,5949.1167700000005,9489616.0,1.9,2.0,0.7979999999999999,15.6,Europe,Eastern Europe
240,Belgium,2015,Developed,81.1,74.0,0,,0.0,98.0,47,63.7,1,99.0,,99.0,0.1,4356.875,11274196.0,1.0,1.0,0.895,16.6,Europe,Western Europe
256,Belize,2015,Developing,71.0,175.0,0,,0.0,94.0,0,5.9,0,94.0,,94.0,0.2,4849.9974950000005,359288.0,3.5,3.4,0.706,12.8,Americas,Latin America and the Caribbean
272,Benin,2015,Developing,60.0,249.0,25,,0.0,82.0,55,25.7,39,78.0,,82.0,1.0,783.94791,1575952.0,6.9,6.8,0.48100000000000004,10.7,Africa,Sub-Saharan Africa
288,Bhutan,2015,Developing,69.8,211.0,0,,0.0,99.0,11,24.5,0,98.0,,99.0,0.5,2613.645177,787386.0,15.4,16.0,0.604,12.5,Asia,Southern Asia
304,Botswana,2015,Developing,65.7,256.0,2,,0.0,95.0,0,37.9,2,96.0,,95.0,2.2,6532.651,229197.0,6.4,6.1,0.698,12.6,Africa,Sub-Saharan Africa
320,Brazil,2015,Developing,75.0,142.0,42,,0.0,96.0,214,56.1,47,98.0,,96.0,0.1,8757.2622,2596218.0,2.7,2.6,0.754,15.2,Americas,Latin America and the Caribbean
336,Brunei Darussalam,2015,Developing,77.7,78.0,0,,0.0,99.0,4,41.2,0,99.0,,99.0,0.1,3967.8951,,5.7,5.1,0.8640000000000001,14.9,Asia,South-eastern Asia
352,Bulgaria,2015,Developed,74.5,137.0,0,,0.0,92.0,0,65.7,1,91.0,,91.0,0.1,6993.477359999999,7177991.0,1.9,1.8,0.792,15.0,Europe,Eastern Europe
368,Burkina Faso,2015,Developing,59.9,26.0,38,,0.0,91.0,99,19.4,61,91.0,,91.0,0.6,615.592225,1811624.0,8.0,7.5,0.39899999999999997,7.7,Africa,Sub-Saharan Africa
384,Burundi,2015,Developing,59.6,288.0,21,,0.0,94.0,9,18.7,31,94.0,,94.0,0.7,33.681222999999996,119927.0,7.3,7.2,0.406,10.6,Africa,Sub-Saharan Africa
400,Cabo Verde,2015,Developing,73.3,114.0,0,,0.0,96.0,0,31.3,0,93.0,,93.0,0.2,2954.119467,532913.0,6.6,6.6,0.6459999999999999,13.5,Africa,Sub-Saharan Africa
416,Cambodia,2015,Developing,68.7,174.0,10,,0.0,89.0,0,19.6,12,87.0,,89.0,0.2,1163.18977,15517635.0,1.9,1.9,0.5579999999999999,10.9,Asia,South-eastern Asia
432,Cameroon,2015,Developing,57.3,357.0,45,,0.0,84.0,1809,29.0,68,83.0,,84.0,3.5,1244.429421,22834522.0,5.6,5.5,0.514,10.4,Africa,Sub-Saharan Africa
448,Canada,2015,Developing,82.2,64.0,2,,0.0,55.0,195,67.0,2,91.0,,91.0,0.1,43315.744000000006,3584861.0,0.6,0.5,0.919,16.3,Americas,Northern America
464,Central African Republic,2015,Developing,52.5,397.0,15,,0.0,47.0,150,22.7,21,47.0,,47.0,4.4,348.381417,45461.0,8.2,8.2,0.34700000000000003,7.1,Africa,Sub-Saharan Africa
480,Chad,2015,Developing,53.1,356.0,46,,0.0,46.0,418,19.1,77,52.0,,46.0,2.8,777.248751,149413.0,8.5,8.4,0.39399999999999996,7.3,Africa,Sub-Saharan Africa
496,Chile,2015,Developing,85.0,82.0,2,,0.0,97.0,9,63.8,2,96.0,,96.0,0.1,13653.2264,17762681.0,0.8,0.8,0.845,16.3,Americas,Latin America and the Caribbean
512,China,2015,Developing,76.1,85.0,157,,0.0,99.0,42361,32.9,183,99.0,,99.0,0.1,869.211938,137122.0,3.6,2.9,0.7340000000000001,13.5,Asia,Eastern Asia
528,Colombia,2015,Developing,74.8,143.0,10,,0.0,91.0,1,57.9,12,91.0,,91.0,0.1,644.5255559999999,48228697.0,2.1,1.9,0.7240000000000001,13.6,Americas,Latin America and the Caribbean
544,Comoros,2015,Developing,63.5,227.0,1,,0.0,91.0,0,24.2,2,92.0,,91.0,0.8,727.6463868,777424.0,6.7,6.5,0.498,11.1,Africa,Sub-Saharan Africa
560,Congo,2015,Developing,64.7,267.0,7,,0.0,8.0,1359,27.4,10,8.0,,8.0,2.8,,,7.5,7.1,0.59,11.1,Africa,Sub-Saharan Africa
577,Costa Rica,2015,Developing,79.6,95.0,1,,0.0,92.0,0,6.5,1,92.0,,92.0,0.1,1146.36273,487852.0,1.7,1.7,0.775,14.2,Americas,Latin America and the Caribbean
593,Croatia,2015,Developed,78.0,95.0,0,,0.0,94.0,206,63.7,0,94.0,,94.0,0.1,11579.6674,42364.0,1.5,1.4,0.823,15.3,Europe,Southern Europe
609,Cuba,2015,Developing,79.1,92.0,1,,0.0,99.0,0,61.4,1,99.0,,99.0,0.1,762.261218,,3.5,3.3,0.773,13.9,Americas,Latin America and the Caribbean
625,Cyprus,2015,Developed,85.0,52.0,0,,0.0,97.0,0,6.3,0,97.0,,97.0,0.1,2375.1127,116985.0,1.0,1.0,0.8540000000000001,14.3,Asia,Western Asia
641,Denmark,2015,Developed,86.0,71.0,0,,0.0,,9,58.8,0,93.0,,93.0,0.1,5314.64416,5683483.0,1.1,0.9,0.9229999999999999,19.2,Europe,Northern Europe
657,Djibouti,2015,Developing,63.5,241.0,1,,0.0,84.0,47,35.0,1,84.0,,84.0,2.1,1862.167274,927414.0,5.6,5.4,0.47,6.3,Africa,Sub-Saharan Africa
674,Dominican Republic,2015,Developing,73.9,152.0,6,,0.0,81.0,0,58.9,7,87.0,,85.0,0.3,6468.471648,1528394.0,3.3,3.2,0.718,13.2,Americas,Latin America and the Caribbean
690,Ecuador,2015,Developing,76.2,118.0,6,,0.0,78.0,0,54.2,7,84.0,,78.0,0.1,625.62224,16144368.0,1.2,1.1,0.7390000000000001,14.0,Americas,Latin America and the Caribbean
706,Egypt,2015,Developing,79.0,159.0,51,,0.0,93.0,5432,61.1,60,93.0,,93.0,0.1,,,2.8,2.8,0.688,13.1,Africa,Northern Africa
722,El Salvador,2015,Developing,73.5,178.0,2,,0.0,91.0,0,56.1,2,92.0,,91.0,0.2,4127.11775,6312478.0,1.6,1.5,0.6779999999999999,13.2,Americas,Latin America and the Caribbean
738,Equatorial Guinea,2015,Developing,58.2,32.0,3,,0.0,16.0,1250,24.5,4,17.0,,16.0,4.2,1347.3125699999998,1175389.0,8.4,8.3,0.5820000000000001,9.2,Africa,Sub-Saharan Africa
754,Eritrea,2015,Developing,64.7,255.0,5,,0.0,95.0,198,18.6,7,95.0,,95.0,0.4,,,8.4,8.2,0.418,5.0,Africa,Sub-Saharan Africa
770,Estonia,2015,Developing,77.6,119.0,0,,0.0,91.0,4,59.9,0,93.0,,93.0,0.1,1774.9291,131547.0,1.9,1.9,0.863,16.5,Europe,Northern Europe
786,Ethiopia,2015,Developing,64.8,225.0,136,,0.0,77.0,17745,17.6,194,75.0,,77.0,0.6,645.4637627000001,9987333.0,1.4,1.2,0.441,8.4,Africa,Sub-Saharan Africa
802,Fiji,2015,Developing,69.9,188.0,0,,0.0,99.0,0,62.7,0,99.0,,99.0,0.1,4921.89629,892149.0,4.0,3.7,0.7340000000000001,15.3,Oceania,Melanesia
818,Finland,2015,Developing,81.1,76.0,0,,0.0,,2,62.1,0,97.0,,97.0,0.1,4245.39744,5479531.0,0.9,0.8,0.893,17.0,Europe,Northern Europe
834,France,2015,Developing,82.4,78.0,2,,0.0,86.0,157,62.5,3,98.0,,98.0,0.1,36526.7711,6662468.0,0.7,0.6,0.894,16.3,Europe,Western Europe
850,Gabon,2015,Developing,66.0,229.0,2,,0.0,8.0,27,36.3,3,79.0,,8.0,2.7,7388.984144,193175.0,6.1,5.9,0.6940000000000001,12.6,Africa,Sub-Saharan Africa
866,Gambia,2015,Developing,61.1,262.0,3,,0.0,97.0,71,27.3,5,96.0,,97.0,1.7,,,7.3,7.2,0.45,8.9,Africa,Sub-Saharan Africa
882,Georgia,2015,Developing,74.4,129.0,1,,0.0,94.0,431,56.2,1,91.0,,94.0,0.1,3764.6491200000005,37171.0,2.7,2.8,0.768,13.9,Asia,Western Asia
898,Germany,2015,Developed,81.0,68.0,2,,0.0,88.0,2464,62.3,3,94.0,,95.0,0.1,41176.88158,81686611.0,1.1,1.1,0.924,17.1,Europe,Western Europe
914,Ghana,2015,Developing,62.4,249.0,37,,0.0,88.0,23,28.6,52,88.0,,88.0,0.7,1361.11395,27582821.0,6.2,6.1,0.575,11.4,Africa,Sub-Saharan Africa
930,Greece,2015,Developing,81.0,72.0,0,,0.0,96.0,1,66.5,0,99.0,,99.0,0.1,187.78991000000002,182883.0,0.8,0.7,0.865,17.2,Europe,Southern Europe
946,Grenada,2015,Developing,73.6,142.0,0,,0.0,92.0,0,48.4,0,99.0,,92.0,0.1,9212.192824,,3.8,3.8,0.7509999999999999,15.8,Americas,Latin America and the Caribbean
962,Guatemala,2015,Developing,71.9,186.0,10,,0.0,74.0,0,5.6,12,9.0,,74.0,0.4,3923.573344,16252429.0,1.2,1.2,0.637,10.7,Americas,Latin America and the Caribbean
978,Guinea,2015,Developing,59.0,284.0,26,,0.0,54.0,243,23.3,40,42.0,,54.0,0.5,554.48766,1291533.0,7.3,7.3,0.414,8.8,Africa,Sub-Saharan Africa
994,Guyana,2015,Developing,66.2,215.0,0,,0.0,95.0,0,46.7,1,92.0,,95.0,0.3,4136.6899189999995,768514.0,5.5,5.3,0.638,10.3,Americas,Latin America and the Caribbean
1010,Haiti,2015,Developing,63.5,24.0,14,,0.0,6.0,0,49.9,18,56.0,,6.0,0.5,814.5463952,171161.0,3.9,3.9,0.49,9.1,Americas,Latin America and the Caribbean
1026,Honduras,2015,Developing,74.6,147.0,3,,0.0,97.0,0,51.0,4,97.0,,97.0,0.3,2326.1585600000003,896829.0,2.1,2.1,0.623,11.2,Americas,Latin America and the Caribbean
1042,Hungary,2015,Developed,75.8,134.0,0,,0.0,,0,64.8,0,99.0,,99.0,0.1,12365.6263,984328.0,1.6,1.6,0.8340000000000001,15.6,Europe,Eastern Europe
1058,Iceland,2015,Developed,82.7,49.0,0,,0.0,,0,61.0,0,92.0,,92.0,0.1,5734.4436,33815.0,1.0,0.9,0.919,19.0,Europe,Northern Europe
1074,India,2015,Developing,68.3,181.0,910,,0.0,87.0,90387,18.7,1100,86.0,,87.0,0.2,1613.1887800000002,1395398.0,26.7,27.3,0.615,11.6,Asia,Southern Asia
1090,Indonesia,2015,Developing,69.1,176.0,114,,0.0,78.0,15099,27.4,136,8.0,,78.0,0.3,3336.1668600000003,258162113.0,1.4,1.2,0.6859999999999999,12.9,Asia,South-eastern Asia
1106,Iraq,2015,Developing,68.9,182.0,32,,0.0,56.0,1433,59.1,38,63.0,,58.0,0.1,4974.2693,36115649.0,5.3,5.1,0.649,10.1,Asia,Western Asia
1122,Ireland,2015,Developed,81.4,64.0,0,,0.0,95.0,4,62.8,0,95.0,,95.0,0.1,6664.144,4676835.0,0.3,0.2,0.92,18.6,Europe,Northern Europe
1138,Israel,2015,Developing,82.5,58.0,0,,0.0,96.0,80,64.9,1,95.0,,95.0,0.1,35729.37253,8381.0,1.2,1.1,0.898,16.0,Asia,Western Asia
1154,Italy,2015,Developed,82.7,56.0,1,,0.0,93.0,159,63.6,2,93.0,,93.0,0.1,349.14755,673582.0,0.6,0.6,0.8809999999999999,16.3,Europe,Southern Europe
1170,Jamaica,2015,Developing,76.2,125.0,1,,0.0,91.0,0,54.2,1,91.0,,91.0,0.5,4965.9898570000005,2871934.0,1.8,1.7,0.7290000000000001,12.8,Americas,Latin America and the Caribbean
1186,Japan,2015,Developed,83.7,55.0,2,,0.0,,35,29.0,3,99.0,,96.0,0.1,34474.13736,127141.0,2.1,1.8,0.902,15.3,Asia,Eastern Asia
1202,Jordan,2015,Developing,74.1,112.0,4,,0.0,99.0,0,65.6,4,99.0,,99.0,0.1,496.99275,915932.0,4.0,4.0,0.741,13.1,Asia,Western Asia
1218,Kazakhstan,2015,Developing,72.0,198.0,4,,0.0,98.0,526,53.1,5,98.0,,98.0,0.1,159.9817,17544126.0,2.4,2.5,0.7929999999999999,15.0,Asia,Central Asia
1234,Kenya,2015,Developing,63.4,249.0,54,,0.0,89.0,95,22.0,75,83.0,,89.0,2.8,1349.97144,47236259.0,7.8,7.6,0.55,11.1,Africa,Sub-Saharan Africa
1250,Kiribati,2015,Developing,66.3,198.0,0,,0.0,82.0,0,77.6,0,8.0,,78.0,0.1,1424.4836109999999,11247.0,0.1,0.1,0.586,11.9,Oceania,Micronesia
1266,Kuwait,2015,Developing,74.7,81.0,0,,0.0,99.0,18,71.4,1,99.0,,99.0,0.1,28975.417999999998,,3.5,3.4,0.799,13.3,Asia,Western Asia
1282,Kyrgyzstan,2015,Developing,71.1,166.0,3,,0.0,97.0,17779,44.9,3,97.0,,97.0,0.1,,,3.3,3.4,0.662,13.0,Asia,Central Asia
1298,Latvia,2015,Developed,74.6,153.0,0,,0.0,94.0,0,61.2,0,95.0,,95.0,0.1,13666.583359999999,1977527.0,2.2,2.1,0.828,16.0,Europe,Northern Europe
1314,Lebanon,2015,Developing,74.9,98.0,1,,0.0,81.0,39,66.1,1,75.0,,81.0,0.1,846.632851,5851479.0,4.9,4.9,0.763,13.3,Asia,Western Asia
1330,Lesotho,2015,Developing,53.7,484.0,4,,0.0,93.0,0,32.6,6,9.0,,93.0,9.3,173.82893,2174645.0,5.5,5.3,0.495,10.7,Africa,Sub-Saharan Africa
1346,Liberia,2015,Developing,61.4,259.0,8,,0.0,52.0,1060,27.3,11,52.0,,52.0,0.9,452.38717,4499621.0,6.5,6.4,0.42700000000000005,9.9,Africa,Sub-Saharan Africa
1362,Libya,2015,Developing,72.7,138.0,1,,0.0,97.0,82,64.8,2,97.0,,97.0,0.1,,,5.8,5.5,0.7190000000000001,13.4,Africa,Northern Africa
1378,Lithuania,2015,Developed,73.6,165.0,0,,0.0,94.0,50,62.4,0,93.0,,93.0,0.1,14252.428530000001,29491.0,2.6,2.6,0.846,16.5,Europe,Northern Europe
1394,Luxembourg,2015,Developed,82.0,63.0,0,,0.0,94.0,0,61.3,0,99.0,,99.0,0.1,1199.8223,56964.0,1.0,0.9,0.8959999999999999,13.9,Europe,Western Europe
1410,Madagascar,2015,Developing,65.5,22.0,28,,0.0,69.0,3,2.5,38,71.0,,69.0,0.3,41.8575951,2423488.0,7.1,7.1,0.511,10.3,Africa,Sub-Saharan Africa
1426,Malawi,2015,Developing,58.3,365.0,26,,0.0,88.0,0,19.6,38,88.0,,88.0,4.8,362.65754439999995,1757367.0,6.4,6.2,0.473,10.8,Africa,Sub-Saharan Africa
1442,Malaysia,2015,Developing,75.0,123.0,4,,0.0,99.0,1318,4.6,4,99.0,,99.0,0.1,9643.644683,3723155.0,7.5,7.3,0.787,13.1,Asia,South-eastern Asia
1458,Maldives,2015,Developing,78.5,61.0,0,,0.0,99.0,0,27.4,0,99.0,,99.0,0.1,8395.785198,49163.0,13.6,13.6,0.701,12.7,Asia,Southern Asia
1474,Mali,2015,Developing,58.2,266.0,52,,0.0,64.0,215,23.8,84,66.0,,64.0,1.5,729.725338,1746795.0,7.7,7.5,0.43799999999999994,8.4,Africa,Sub-Saharan Africa
1490,Malta,2015,Developed,81.7,54.0,0,,0.0,95.0,2,69.6,0,97.0,,97.0,0.1,23819.4636,431874.0,0.8,0.8,0.853,14.6,Europe,Southern Europe
1507,Mauritania,2015,Developing,63.1,25.0,8,,0.0,73.0,1,3.8,12,67.0,,73.0,0.9,1158.256469,4182341.0,7.8,7.5,0.513,8.5,Africa,Sub-Saharan Africa
1523,Mauritius,2015,Developing,74.6,146.0,0,,0.0,97.0,0,33.3,0,98.0,,97.0,0.1,9252.117240000001,126265.0,6.9,6.8,0.779,15.2,Africa,Sub-Saharan Africa
1539,Mexico,2015,Developing,76.7,122.0,30,,0.0,82.0,0,63.5,35,87.0,,87.0,0.1,9143.128494,12589949.0,1.5,1.5,0.758,13.3,Americas,Latin America and the Caribbean
1555,Micronesia (Federated States of),2015,Developing,69.4,166.0,0,,0.0,78.0,0,69.4,0,71.0,,72.0,0.1,,,0.2,0.2,0.637,11.7,Oceania,Micronesia
1572,Mongolia,2015,Developing,68.8,222.0,1,,0.0,99.0,20359,52.7,1,99.0,,99.0,0.1,3944.1839,2976877.0,2.2,2.3,0.733,14.8,Asia,Eastern Asia
1588,Montenegro,2015,Developing,76.1,16.0,0,,0.0,82.0,0,61.8,0,89.0,,89.0,0.1,6461.192554,622159.0,1.8,1.8,0.804,15.1,Europe,Southern Europe
1604,Morocco,2015,Developing,74.3,95.0,17,,0.0,99.0,17,58.5,20,99.0,,99.0,0.1,2847.285569,3483322.0,6.4,6.2,0.645,12.1,Africa,Northern Africa
1620,Mozambique,2015,Developing,57.6,355.0,60,,0.0,8.0,79,22.6,81,8.0,,8.0,3.9,528.3125597,281691.0,3.6,3.5,0.414,9.1,Africa,Sub-Saharan Africa
1636,Myanmar,2015,Developing,66.6,199.0,39,,0.0,89.0,6,23.8,50,89.0,,89.0,0.3,1194.5913699999999,5243669.0,12.8,13.0,0.552,9.1,Asia,South-eastern Asia
1652,Namibia,2015,Developing,65.8,248.0,2,,0.0,92.0,212,35.7,3,92.0,,92.0,2.1,4737.66996,2425561.0,8.2,8.1,0.637,11.7,Africa,Sub-Saharan Africa
1669,Nepal,2015,Developing,69.2,165.0,17,,0.0,91.0,1599,19.1,21,9.0,,91.0,0.1,743.7653489,28656282.0,15.7,16.1,0.555,12.2,Asia,Southern Asia
1685,Netherlands,2015,Developed,81.9,57.0,1,,0.0,94.0,7,62.1,1,95.0,,95.0,0.1,44292.88473,16939923.0,1.0,0.9,0.9229999999999999,18.1,Europe,Western Europe
1701,New Zealand,2015,Developed,81.6,66.0,0,8.7,0.0,92.0,10,67.5,0,92.0,,92.0,0.1,3821.8937,,0.4,0.3,0.9129999999999999,19.2,Oceania,Australia and New Zealand
1717,Nicaragua,2015,Developing,74.8,145.0,2,,0.0,98.0,0,54.0,2,99.0,,98.0,0.1,295.96648799999997,68235.0,1.8,1.7,0.642,11.7,Americas,Latin America and the Caribbean
1733,Niger,2015,Developing,61.8,22.0,49,,0.0,65.0,7693,19.3,87,65.0,,65.0,0.4,358.99731,19896965.0,9.6,9.4,0.35100000000000003,5.4,Africa,Sub-Saharan Africa
1749,Nigeria,2015,Developing,54.5,344.0,483,,0.0,49.0,12423,25.4,747,49.0,,49.0,3.7,2655.157977,181181744.0,9.8,9.7,0.525,10.0,Africa,Sub-Saharan Africa
1766,Norway,2015,Developed,81.8,59.0,0,5.97,0.0,,14,61.2,0,95.0,,95.0,0.1,7455.246540000001,518867.0,0.8,0.7,0.948,17.7,Europe,Northern Europe
1782,Oman,2015,Developing,76.6,99.0,1,,0.0,99.0,0,54.6,1,99.0,,99.0,0.1,16627.36433,,7.1,6.9,0.795,13.7,Asia,Western Asia
1798,Pakistan,2015,Developing,66.4,161.0,352,,0.0,72.0,386,25.4,433,72.0,,72.0,0.1,1431.2448650000001,18938513.0,19.2,19.6,0.5479999999999999,8.1,Asia,Southern Asia
1815,Panama,2015,Developing,77.8,118.0,1,,0.0,73.0,0,57.8,1,72.0,,73.0,0.1,13134.4367,3969249.0,1.9,1.8,0.785,13.0,Americas,Latin America and the Caribbean
1831,Papua New Guinea,2015,Developing,62.9,275.0,10,,0.0,67.0,38,48.6,12,74.0,,73.0,0.6,,7919825.0,1.3,1.3,0.515,10.0,Oceania,Melanesia
1847,Paraguay,2015,Developing,74.0,146.0,2,,0.0,93.0,0,5.2,3,89.0,,93.0,0.2,419.367724,6639119.0,2.0,1.9,0.6920000000000001,12.3,Americas,Latin America and the Caribbean
1863,Peru,2015,Developing,75.5,123.0,8,,0.0,9.0,4,55.6,10,88.0,,9.0,0.1,63.343258999999996,31376671.0,1.1,1.1,0.737,13.4,Americas,Latin America and the Caribbean
1879,Philippines,2015,Developing,68.5,211.0,52,,0.0,6.0,619,25.4,66,79.0,,6.0,0.1,2878.33837,11716359.0,1.0,9.7,0.679,11.7,Asia,South-eastern Asia
1895,Poland,2015,Developed,77.5,117.0,2,,0.0,96.0,0,61.7,2,92.0,,98.0,0.1,12565.9876,37986412.0,1.9,2.0,0.852,16.4,Europe,Eastern Europe
1911,Portugal,2015,Developed,81.1,76.0,0,,0.0,98.0,8,61.6,0,98.0,,98.0,0.1,1922.681,135876.0,0.7,0.5,0.841,16.6,Europe,Southern Europe
1927,Qatar,2015,Developing,78.2,68.0,0,,0.0,99.0,18,69.3,0,99.0,,99.0,0.1,66346.52267,,5.2,4.9,0.855,13.4,Asia,Western Asia
1943,Romania,2015,Developed,75.0,133.0,2,,0.0,9.0,4,6.7,2,89.0,,89.0,0.1,8958.788593000001,19815481.0,2.5,2.7,0.7979999999999999,14.7,Europe,Eastern Europe
1959,Russian Federation,2015,Developing,75.0,222.0,13,,0.0,97.0,843,6.5,15,97.0,,97.0,0.1,9329.298351000001,1449687.0,2.3,2.3,0.805,15.0,Europe,Eastern Europe
1975,Rwanda,2015,Developing,66.1,227.0,11,,0.0,98.0,1,21.4,15,99.0,,98.0,0.4,71.34839699999999,11629553.0,5.7,5.7,0.493,10.8,Africa,Sub-Saharan Africa
1992,Saint Lucia,2015,Developing,75.2,138.0,0,,0.0,99.0,0,47.5,0,99.0,,99.0,0.1,,,4.3,4.3,0.735,13.1,Americas,Latin America and the Caribbean
2008,Saint Vincent and the Grenadines,2015,Developing,73.2,156.0,0,,0.0,98.0,0,54.1,0,97.0,,98.0,0.1,,,3.5,3.4,0.72,13.3,Americas,Latin America and the Caribbean
2024,Samoa,2015,Developing,74.0,125.0,0,,0.0,59.0,0,74.7,0,61.0,,66.0,0.1,4149.363444,193759.0,0.2,0.1,0.7020000000000001,12.9,Oceania,Polynesia
2041,Sao Tome and Principe,2015,Developing,67.5,19.0,0,,0.0,96.0,0,3.9,0,96.0,,96.0,0.2,1624.6396300000001,195553.0,5.5,5.3,0.565,11.2,Africa,Sub-Saharan Africa
2057,Saudi Arabia,2015,Developing,74.5,88.0,7,,0.0,98.0,219,68.2,8,97.0,,98.0,0.1,2732.86172,,7.8,7.6,0.845,16.1,Asia,Western Asia
2073,Senegal,2015,Developing,66.7,188.0,19,,0.0,89.0,58,24.3,26,85.0,,89.0,0.3,98.7256145,14976994.0,9.5,9.3,0.491,9.5,Africa,Sub-Saharan Africa
2089,Serbia,2015,Developing,75.6,121.0,1,,0.0,94.0,383,6.0,1,95.0,,95.0,0.1,5237.255334,795383.0,2.0,2.0,0.775,14.4,Europe,Southern Europe
2105,Seychelles,2015,Developing,73.2,168.0,0,,0.0,98.0,0,37.4,0,97.0,,97.0,0.1,1539.464,93419.0,5.7,6.0,0.7809999999999999,14.1,Africa,Sub-Saharan Africa
2121,Sierra Leone,2015,Developing,51.0,413.0,22,,0.0,86.0,607,24.4,30,86.0,,86.0,0.5,587.538233,723725.0,7.4,7.3,0.431,9.5,Africa,Sub-Saharan Africa
2137,Singapore,2015,Developed,83.1,55.0,0,1.79,0.0,96.0,0,33.2,0,96.0,,96.0,0.1,53629.737460000004,,2.2,2.2,0.924,15.4,Asia,South-eastern Asia
2153,Slovakia,2015,Developed,76.7,19.0,0,,0.0,96.0,1,59.1,0,96.0,,96.0,0.1,,,1.2,1.2,0.8420000000000001,15.0,Europe,Eastern Europe
2169,Slovenia,2015,Developed,88.0,74.0,0,,0.0,,18,6.1,0,95.0,,95.0,0.1,2729.8638300000002,263531.0,1.4,1.3,0.888,17.3,Europe,Southern Europe
2185,Solomon Islands,2015,Developing,69.2,177.0,0,,0.0,98.0,0,5.5,0,99.0,,98.0,0.1,1922.41388,587482.0,1.1,1.2,0.514,9.6,Oceania,Melanesia
2201,Somalia,2015,Developing,55.0,312.0,50,,0.0,42.0,7497,24.3,80,47.0,,42.0,0.7,426.98537000000005,,6.6,6.4,,,Africa,Sub-Saharan Africa
2217,South Africa,2015,Developing,62.9,328.0,42,,0.0,75.0,17,51.1,52,75.0,,75.0,3.6,5769.77258,5511976.68,4.4,5.3,0.665,13.0,Africa,Sub-Saharan Africa
2233,South Sudan,2015,Developing,57.3,332.0,26,,0.0,31.0,878,,39,41.0,,31.0,3.4,758.725782,11882136.0,,,0.42100000000000004,4.9,Africa,Sub-Saharan Africa
2249,Spain,2015,Developed,82.8,56.0,1,,0.0,97.0,115,66.6,1,97.0,,97.0,0.1,25683.84565,46447697.0,0.6,0.5,0.882,17.7,Europe,Southern Europe
